Hz, dB
30000000,76.4535802771864
39850000,73.9409100198971
49700000,72.8112484988466
59550000,75.4853848209681
69400000,70.0945891846598
79250000,73.7704500404284
89100000,70.4811305254452
98950000,66.9133144655611
108800000,68.3318644433372
118650000,65.4176750893128
128500000,64.4807941002826
138350000,65.2303367851293
148200000,64.7909876739724
158050000,62.8123923028071
167900000,63.0062824666766
177750000,61.9674116670033
187600000,61.7050641654275
197450000,58.9435347442111
207300000,61.5595461218045
217150000,59.9483651450023
227000000,59.4364377205747
236850000,58.0839985820779
246700000,57.5247782159971
256550000,56.4642891559874
266400000,56.5921601716079
276250000,57.7774236267046
286100000,54.5869226799002
295950000,55.1410029247942
305800000,54.1094182880615
315650000,53.1378634460659
325500000,51.8501241253312
335350000,51.6754053885783
345200000,50.6450684872629
355050000,49.1608044938225
364900000,48.8134642725428
374750000,48.4063562345057
384600000,46.3657496151191
394450000,46.8391191835721
404300000,45.84308104631
414150000,42.6855778089211
424000000,1.5928221081371
433850000,0.855342504383711
443700000,2.25536147228769
453550000,29.1061001843073
463400000,37.0646493812683
473250000,52.8874344238576
483100000,48.112974283721
492950000,50.1987052583454
502800000,50.6963027794416
512650000,50.1507246068514
522500000,50.1102101923236
532350000,49.6297594204218
542200000,50.3127707584038
552050000,49.1613585301422
561900000,49.0737444523845
571750000,48.6245885423654
581600000,48.0763395464578
591450000,48.5664019800914
601300000,47.2238999943861
611150000,46.2169314503923
621000000,46.9156104856671
630850000,46.7493280297778
640700000,48.5584168045338
650550000,45.2712213842263
660400000,45.5332586757375
670250000,44.7358578320245
680100000,44.0513628354044
689950000,42.8057530625479
699800000,42.8537024755752
709650000,42.3363999671397
719500000,42.3903303811129
729350000,41.8067593858208
739200000,41.379852535202
749050000,40.6203347709363
758900000,40.3964073059625
768750000,39.795102779379
778600000,39.6914125598786
788450000,39.112313278026
798300000,38.850677612923
808150000,38.3307547233084
818000000,38.1522127012239
827850000,37.864618594757
837700000,37.7417257319161
847550000,37.5412878301435
857400000,37.4877796329717
867250000,37.4006457284771
877100000,37.4920165606298
886950000,37.5141881311707
896800000,37.5480224568615
906650000,37.6302861575236
916500000,37.6705526476398
926350000,37.5816575808994
936200000,37.6797785866354
946050000,37.6578182053828
955900000,37.4772636705625
965750000,37.5496190456129
975600000,37.4757391752794
985450000,37.561743850356
995300000,37.5876013958631
1005150000,37.7574659725676
1015000000,37.8043127579117
1024850000,38.0967862177958
1034700000,38.288179435566
1044550000,38.2952973396784
1054400000,38.4504867191322
1064250000,38.7171002463726
1074100000,38.7296836733474
1083950000,38.8770381167692
1093800000,38.7716687428788
1103650000,38.7363781207101
1113500000,38.5973236283751
1123350000,38.396342917938
1133200000,37.9800894087248
1143050000,37.6439857977944
1152900000,37.0884975876314
1162750000,36.4605067956076
1172600000,35.6966913862947
1182450000,35.0410798088254
1192300000,34.2792415628317
1202150000,33.4682084918376
1212000000,32.7359422141656
1221850000,32.1015022852827
1231700000,31.563722657029
1241550000,31.2051357202032
1251400000,31.2362469692188
1261250000,36.0627189784773
1271100000,33.1089766157766
1280950000,32.3492848054458
1290800000,32.5863172656718
1300650000,32.86056668786
1310500000,33.276013378211
1320350000,33.7553043683679
1330200000,34.1266034459547
1340050000,34.1918425625822
1349900000,34.4353415850175
1359750000,34.5212538250752
1369600000,34.6462079031028
1379450000,34.6920198098575
1389300000,34.7307324333342
1399150000,34.7326666201242
1409000000,34.708305207318
1418850000,34.5606926505487
1428700000,34.373772925488
1438550000,34.2726187762322
1448400000,34.1251356189149
1458250000,33.9678620989117
1468100000,33.8380056675529
1477950000,33.6960917851904
1487800000,33.5501889069912
1497650000,33.435608092469
1507500000,33.2465288164766
1517350000,33.1945469169466
1527200000,33.1167033740235
1537050000,33.1477181748918
1546900000,33.143305303699
1556750000,33.177152568372
1566600000,33.3366853881745
1576450000,33.325860210383
1586300000,33.4476958654604
1596150000,33.3834263391616
1606000000,33.3418988423301
1615850000,33.3642892629888
1625700000,33.2670296771219
1635550000,33.1654118606478
1645400000,33.0807334127768
1655250000,32.8452269787464
1665100000,32.7084793973211
1674950000,32.47240550213
1684800000,32.2578410815784
1694650000,31.9659083377002
1704500000,31.6671591155316
1714350000,31.2885035056055
1724200000,30.8627141693706
1734050000,30.4491334900762
1743900000,29.9251115270586
1753750000,29.3374530482499
1763600000,28.7400097500528
1773450000,28.1253252551193
1783300000,27.5250271827721
1793150000,27.0264603747244
1803000000,26.6865720013709
1812850000,26.5322704761317
1822700000,26.5127201979471
1832550000,26.5547300148451
1842400000,26.8441338491135
1852250000,27.294571564435
1862100000,27.8971439033745
1871950000,28.5393950081679
1881800000,29.1340008019616
1891650000,29.6931544790256
1901500000,30.1745828488977
1911350000,30.593734936384
1921200000,30.9316545832311
1931050000,31.1415111078551
1940900000,31.2634553871923
1950750000,31.265802942003
1960600000,31.2185093410064
1970450000,31.0003931082089
1980300000,30.7775294422908
1990150000,30.4358175390304
2000000000,30.0821364875443
END
